Date,ind10,bse,int_bond,int_stock
"Jun 11, 2007",8.345,14255.93,55.891273,2618.290039
"Jun 12, 2007",8.379,14186.18,55.540264,2611.22998
"Jun 13, 2007",8.411,14063.81,55.514252,2587.179932
"Jun 14, 2007",8.331,14083.41,54.51963,2541.379883
"Jun 15, 2007",8.288,14130.95,54.474152,2573.540039
"Jun 18, 2007",8.202,14003.03,54.318195,2572.149902
"Jun 19, 2007",8.221,14203.72,53.531574,2549.77002
"Jun 20, 2007",8.249,14162.71,54.168659,2582.310059
"Jun 21, 2007",8.235,14080.14,54.032177,2599.409912
"Jun 22, 2007",8.229,14295.5,54.402691,2626.709961
"Jun 25, 2007",8.183,14411.95,54.292133,2626.600098
"Jun 26, 2007",8.206,14499.24,54.799198,2626.76001
"Jun 27, 2007",8.238,14467.36,54.357178,2599.959961
"Jun 28, 2007",8.194,14487.72,54.097137,2616.959961
"Jun 29, 2007",8.187,14501.08,54.448204,2588.959961
"Jul 02, 2007",8.111,14431.06,54.747196,2577.080078
"Jul 03, 2007",8.097,14504.57,54.760204,2574.159912
"Jul 04, 2007",8.028,14650.51,54.812145,2605.350098
"Jul 05, 2007",8.007,14664.26,54.799198,2608.370117
"Jul 06, 2007",8.01,14806.51,55.364773,2603.22998
"Jul 09, 2007",7.925,14880.24,55.655754,2632.300049
"Jul 10, 2007",7.939,14861.89,55.316456,2644.949951
"Jul 11, 2007",7.925,14964.12,54.696529,2656.649902
"Jul 12, 2007",7.916,15045.73,54.474689,2666.51001
"Jul 13, 2007",7.939,15009.88,54.670406,2670.02002
"Jul 16, 2007",7.914,14910.62,55.59705,2639.159912
"Jul 17, 2007",7.843,15092.04,55.022793,2651.790039
"Jul 18, 2007",7.784,15272.72,54.833546,2701.72998
"Jul 19, 2007",7.831,15311.22,54.983677,2707
"Jul 20, 2007",7.808,15289.82,55.512203,2697.330078
"Jul 23, 2007",7.747,15301.17,55.394749,2712.290039
"Jul 24, 2007",7.775,15550.13,55.603565,2699.48999
